Day of Week,Date,Hour ending,Hourly volume Southbound,HCV % Southbound,Hourly volume Northbound,HCV % Northbound,Total volume,Total % HCV
Sun, Jan 1 2012,0100,57,1.8,89,0,146,0.7
Sun, Jan 1 2012,0200,97,0,146,2.7,243,1.6
Sun, Jan 1 2012,0300,91,0,134,0,225,0
Sun, Jan 1 2012,0400,74,2.7,124,1.6,198,2
Sun, Jan 1 2012,0500,61,1.6,83,1.2,144,1.4
Sun, Jan 1 2012,0600,37,2.7,56,0,93,1.1
Sun, Jan 1 2012,0700,53,3.8,48,2.1,101,3
Sun, Jan 1 2012,0800,84,1.2,56,0,140,0.7
Sun, Jan 1 2012,0900,94,1.1,81,0,175,0.6
Sun, Jan 1 2012,1000,133,0,119,1.7,252,0.8
Sun, Jan 1 2012,1100,258,2.3,169,1.2,427,1.9
Sun, Jan 1 2012,1200,312,0.6,313,0.3,625,0.5
Sun, Jan 1 2012,1300,443,0.7,497,1.2,940,1
Sun, Jan 1 2012,1400,563,0.2,606,0.8,1169,0.5
Sun, Jan 1 2012,1500,628,0.6,682,0.1,1310,0.4
Sun, Jan 1 2012,1600,666,0.5,697,1.4,1363,1
Sun, Jan 1 2012,1700,625,0.8,659,0.5,1284,0.6
Sun, Jan 1 2012,1800,532,0.4,576,0.3,1108,0.4
Sun, Jan 1 2012,1900,534,0.4,537,0.4,1071,0.4
Sun, Jan 1 2012,2000,581,0.5,582,0.5,1163,0.5
Sun, Jan 1 2012,2100,399,1.3,417,2.6,816,2
Sun, Jan 1 2012,2200,325,0.6,288,2.4,613,1.5
Sun, Jan 1 2012,2300,206,2.4,213,0.9,419,1.7
Sun, Jan 1 2012,2400,89,3.4,160,3.8,249,3.6
Mon, Jan 2 2012,0100,56,3.6,88,1.1,144,2.1
Mon, Jan 2 2012,0200,65,4.6,97,2.1,162,3.1
Mon, Jan 2 2012,0300,37,2.7,80,2.5,117,2.6
Mon, Jan 2 2012,0400,43,9.3,65,1.5,108,4.6
Mon, Jan 2 2012,0500,33,6.1,31,6.5,64,6.2
Mon, Jan 2 2012,0600,33,9.1,23,17.4,56,12.5
Mon, Jan 2 2012,0700,85,4.7,26,11.5,111,6.3
Mon, Jan 2 2012,0800,144,2.8,75,4,219,3.2
Mon, Jan 2 2012,0900,181,5.5,143,3.5,324,4.6
Mon, Jan 2 2012,1000,202,1,135,3.7,337,2.1
Mon, Jan 2 2012,1100,289,3.5,212,1.9,501,2.8
Mon, Jan 2 2012,1200,535,2.4,322,1.9,857,2.2
Mon, Jan 2 2012,1300,648,1.5,461,1.7,1109,1.6
Mon, Jan 2 2012,1400,794,1.3,548,1.5,1342,1.3
Mon, Jan 2 2012,1500,796,1.8,669,2.2,1465,2
Mon, Jan 2 2012,1600,718,1.5,713,1.4,1431,1.5
Mon, Jan 2 2012,1700,737,1.8,738,1.6,1475,1.7
Mon, Jan 2 2012,1800,701,2.6,729,1.5,1430,2
Mon, Jan 2 2012,1900,598,1.5,683,2.6,1281,2.1
Mon, Jan 2 2012,2000,538,2,532,2.4,1070,2.2
Mon, Jan 2 2012,2100,373,1.1,425,1.9,798,1.5
Mon, Jan 2 2012,2200,285,1.1,289,2.8,574,1.9
Mon, Jan 2 2012,2300,177,2.8,194,1,371,1.9
Mon, Jan 2 2012,2400,118,5.1,143,4.9,261,5
Tue, Jan 3 2012,0100,76,2.6,76,2.6,152,2.6
Tue, Jan 3 2012,0200,45,11.1,57,1.8,102,5.9
Tue, Jan 3 2012,0300,22,22.7,34,5.9,56,12.5
Tue, Jan 3 2012,0400,30,16.7,26,23.1,56,19.6
Tue, Jan 3 2012,0500,46,17.4,25,40,71,25.4
Tue, Jan 3 2012,0600,134,6.7,47,34,181,13.8
Tue, Jan 3 2012,0700,487,3.1,112,17.9,599,5.8
Tue, Jan 3 2012,0800,942,2.7,255,8.2,1197,3.8
Tue, Jan 3 2012,0900,704,3.4,392,7.7,1096,4.9
Tue, Jan 3 2012,1000,551,4.9,255,11.8,806,7.1
Tue, Jan 3 2012,1100,541,5.9,332,8.1,873,6.8
Tue, Jan 3 2012,1200,642,4.7,434,7.4,1076,5.8
Tue, Jan 3 2012,1300,675,4.1,541,5.9,1216,4.9
Tue, Jan 3 2012,1400,696,3.4,651,4.1,1347,3.8
Tue, Jan 3 2012,1500,685,4.5,707,6.5,1392,5.5
Tue, Jan 3 2012,1600,662,3.9,833,2.6,1495,3.2
Tue, Jan 3 2012,1700,573,5.1,1007,2.7,1580,3.5
Tue, Jan 3 2012,1800,543,3.9,1056,2.1,1599,2.7
Tue, Jan 3 2012,1900,553,2.2,993,2.3,1546,2.3
Tue, Jan 3 2012,2000,433,3,555,2.3,988,2.6
Tue, Jan 3 2012,2100,296,5.4,399,2.3,695,3.6
Tue, Jan 3 2012,2200,232,1.7,285,5.6,517,3.9
Tue, Jan 3 2012,2300,168,3,237,1.7,405,2.2
Tue, Jan 3 2012,2400,108,4.6,194,1.5,302,2.6
Wed, Jan 4 2012,0100,53,9.4,146,2.7,199,4.5
Wed, Jan 4 2012,0200,27,7.4,48,8.3,75,8
Wed, Jan 4 2012,0300,14,50,43,14,57,22.8
Wed, Jan 4 2012,0400,25,16,37,13.5,62,14.5
Wed, Jan 4 2012,0500,45,22.2,19,21.1,64,21.9
Wed, Jan 4 2012,0600,126,7.9,33,24.2,159,11.3
Wed, Jan 4 2012,0700,504,5.6,98,25.5,602,8.8
Wed, Jan 4 2012,0800,972,3.6,280,8.9,1252,4.8
Wed, Jan 4 2012,0900,812,4.6,434,12.9,1246,7.5
Wed, Jan 4 2012,1000,620,5.3,313,6.4,933,5.7
Wed, Jan 4 2012,1100,607,6.3,401,6.5,1008,6.3
Wed, Jan 4 2012,1200,702,4.4,539,7.1,1241,5.6
Wed, Jan 4 2012,1300,704,3.8,536,9.3,1240,6.2
Wed, Jan 4 2012,1400,728,4.5,612,7.4,1340,5.8
Wed, Jan 4 2012,1500,699,4.4,703,6.3,1402,5.3
Wed, Jan 4 2012,1600,671,4.9,892,4.4,1563,4.6
Wed, Jan 4 2012,1700,570,6.1,1011,4.2,1581,4.9
Wed, Jan 4 2012,1800,510,4.1,961,3.3,1471,3.6
Wed, Jan 4 2012,1900,606,3,1014,1.9,1620,2.3
Wed, Jan 4 2012,2000,419,4.5,571,2.3,990,3.2
Wed, Jan 4 2012,2100,297,3.4,397,2.5,694,2.9
Wed, Jan 4 2012,2200,198,4,311,5.1,509,4.7
Wed, Jan 4 2012,2300,186,4.3,198,3,384,3.6
Wed, Jan 4 2012,2400,112,4.5,213,3.8,325,4
Thu, Jan 5 2012,0100,46,8.7,150,4.7,196,5.6
Thu, Jan 5 2012,0200,31,12.9,49,8.2,80,10
Thu, Jan 5 2012,0300,26,26.9,70,7.1,96,12.5
Thu, Jan 5 2012,0400,15,26.7,39,5.1,54,11.1
Thu, Jan 5 2012,0500,36,11.1,28,28.6,64,18.8
Thu, Jan 5 2012,0600,122,9.8,37,40.5,159,17
Thu, Jan 5 2012,0700,534,3.9,92,17.4,626,5.9
Thu, Jan 5 2012,0800,994,2.8,259,11.2,1253,4.5
Thu, Jan 5 2012,0900,846,3.9,441,10.7,1287,6.2
Thu, Jan 5 2012,1000,628,6.1,360,10.6,988,7.7
Thu, Jan 5 2012,1100,672,6.8,398,9.3,1070,7.8
Thu, Jan 5 2012,1200,699,7.2,478,10.9,1177,8.7
Thu, Jan 5 2012,1300,672,5.2,603,7,1275,6
Thu, Jan 5 2012,1400,715,4.3,631,6.3,1346,5.3
Thu, Jan 5 2012,1500,653,6.4,712,6.3,1365,6.4
Thu, Jan 5 2012,1600,649,4.9,907,4.4,1556,4.6
Thu, Jan 5 2012,1700,576,5.7,981,3.6,1557,4.4
Thu, Jan 5 2012,1800,581,4,1045,2.4,1626,3
Thu, Jan 5 2012,1900,586,3.2,988,2.4,1574,2.7
Thu, Jan 5 2012,2000,578,3.1,653,1.8,1231,2.4
Thu, Jan 5 2012,2100,376,3.2,567,2.5,943,2.8
Thu, Jan 5 2012,2200,234,2.1,379,3.7,613,3.1
Thu, Jan 5 2012,2300,224,4.9,296,3,520,3.8
Thu, Jan 5 2012,2400,125,4,231,2.6,356,3.1
Fri, Jan 6 2012,0100,53,5.7,232,1.7,285,2.5
Fri, Jan 6 2012,0200,36,2.8,80,3.8,116,3.4
Fri, Jan 6 2012,0300,26,34.6,70,7.1,96,14.6
Fri, Jan 6 2012,0400,21,19,50,12,71,14.1
Fri, Jan 6 2012,0500,37,21.6,24,12.5,61,18
Fri, Jan 6 2012,0600,164,9.8,40,17.5,204,11.3
Fri, Jan 6 2012,0700,503,4.6,95,29.5,598,8.5
Fri, Jan 6 2012,0800,919,5.2,247,10.5,1166,6.3
Fri, Jan 6 2012,0900,821,3.7,451,8,1272,5.2
Fri, Jan 6 2012,1000,653,3.8,363,9.6,1016,5.9
Fri, Jan 6 2012,1100,667,5.8,403,10.2,1070,7.5
Fri, Jan 6 2012,1200,691,4.9,555,5.8,1246,5.3
Fri, Jan 6 2012,1300,782,5.1,651,7.1,1433,6
Fri, Jan 6 2012,1400,748,5.2,843,4.7,1591,5
Fri, Jan 6 2012,1500,691,5.9,879,5.3,1570,5.6
Fri, Jan 6 2012,1600,632,5.5,959,4.7,1591,5
Fri, Jan 6 2012,1700,697,6.2,963,3.2,1660,4.5
Fri, Jan 6 2012,1800,577,2.9,973,3.1,1550,3
Fri, Jan 6 2012,1900,637,2.5,983,2.4,1620,2.5
Fri, Jan 6 2012,2000,581,3.3,790,1.1,1371,2
Fri, Jan 6 2012,2100,398,2,599,2.7,997,2.4
Fri, Jan 6 2012,2200,309,2.9,454,2.6,763,2.8
Fri, Jan 6 2012,2300,222,5,364,2.7,586,3.6
Fri, Jan 6 2012,2400,127,7.1,243,5.3,370,5.9
Sat, Jan 7 2012,0100,67,4.5,141,2.1,208,2.9
Sat, Jan 7 2012,0200,62,9.7,115,3.5,177,5.6
Sat, Jan 7 2012,0300,52,7.7,101,4,153,5.2
Sat, Jan 7 2012,0400,30,13.3,72,2.8,102,5.9
Sat, Jan 7 2012,0500,31,9.7,42,9.5,73,9.6
Sat, Jan 7 2012,0600,85,5.9,29,10.3,114,7
Sat, Jan 7 2012,0700,148,4.1,55,21.8,203,8.9
Sat, Jan 7 2012,0800,217,5.5,135,8.1,352,6.5
Sat, Jan 7 2012,0900,372,3.8,205,7.8,577,5.2
Sat, Jan 7 2012,1000,496,3.4,275,7.6,771,4.9
Sat, Jan 7 2012,1100,562,3,368,7.9,930,4.9
Sat, Jan 7 2012,1200,712,2.9,488,5.1,1200,3.8
Sat, Jan 7 2012,1300,718,2.9,632,1.7,1350,2.4
Sat, Jan 7 2012,1400,700,2.4,646,2.3,1346,2.4
Sat, Jan 7 2012,1500,753,2.7,709,3,1462,2.8
Sat, Jan 7 2012,1600,635,2.2,758,1.8,1393,2
Sat, Jan 7 2012,1700,547,2,820,2.9,1367,2.6
Sat, Jan 7 2012,1800,592,2.5,850,0.5,1442,1.3
Sat, Jan 7 2012,1900,563,1.8,795,1.3,1358,1.5
Sat, Jan 7 2012,2000,566,0.9,556,1.1,1122,1
Sat, Jan 7 2012,2100,545,0.6,521,0.4,1066,0.5
Sat, Jan 7 2012,2200,332,0.3,376,1.3,708,0.8
Sat, Jan 7 2012,2300,216,0.9,258,2.3,474,1.7
Sat, Jan 7 2012,2400,146,0.7,194,1,340,0.9
Sun, Jan 8 2012,0100,90,4.4,168,0,258,1.6
Sun, Jan 8 2012,0200,68,0,210,1.4,278,1.1
Sun, Jan 8 2012,0300,65,0,140,0.7,205,0.5
Sun, Jan 8 2012,0400,51,2,107,1.9,158,1.9
Sun, Jan 8 2012,0500,28,14.3,57,1.8,85,5.9
Sun, Jan 8 2012,0600,47,6.4,31,0,78,3.8
Sun, Jan 8 2012,0700,85,1.2,41,0,126,0.8
Sun, Jan 8 2012,0800,132,2.3,78,0,210,1.4
Sun, Jan 8 2012,0900,133,3.8,109,4.6,242,4.1
Sun, Jan 8 2012,1000,218,2.3,208,4.8,426,3.5
Sun, Jan 8 2012,1100,326,2.1,258,1.6,584,1.9
Sun, Jan 8 2012,1200,487,1.6,392,1.5,879,1.6
Sun, Jan 8 2012,1300,690,1.7,479,2.1,1169,1.9
Sun, Jan 8 2012,1400,732,0.5,600,0.7,1332,0.6
Sun, Jan 8 2012,1500,723,1.1,609,0.7,1332,0.9
Sun, Jan 8 2012,1600,770,0.5,689,1.5,1459,1
Sun, Jan 8 2012,1700,792,0.6,829,1,1621,0.8
Sun, Jan 8 2012,1800,777,0.9,913,0.8,1690,0.8
Sun, Jan 8 2012,1900,730,0.8,809,2.3,1539,1.6
Sun, Jan 8 2012,2000,731,2.5,579,1.6,1310,2.1
Sun, Jan 8 2012,2100,528,1.5,504,2.4,1032,1.9
Sun, Jan 8 2012,2200,384,1.3,357,3.1,741,2.2
Sun, Jan 8 2012,2300,259,2.7,238,4.2,497,3.4
Sun, Jan 8 2012,2400,145,3.4,207,3.9,352,3.7
Mon, Jan 9 2012,0100,67,9,93,3.2,160,5.6
Mon, Jan 9 2012,0200,41,7.3,61,3.3,102,4.9
Mon, Jan 9 2012,0300,23,13,31,6.5,54,9.3
Mon, Jan 9 2012,0400,28,17.9,37,8.1,65,12.3
Mon, Jan 9 2012,0500,41,29.3,25,20,66,25.8
Mon, Jan 9 2012,0600,145,7.6,57,8.8,202,7.9
Mon, Jan 9 2012,0700,587,5.3,130,10.8,717,6.3
Mon, Jan 9 2012,0800,1049,3.1,318,9.7,1367,4.7
Mon, Jan 9 2012,0900,689,6.2,601,7.3,1290,6.7
Mon, Jan 9 2012,1000,611,5.7,397,9.6,1008,7.2
Mon, Jan 9 2012,1100,644,5.1,430,10.5,1074,7.3
Mon, Jan 9 2012,1200,597,6.7,506,7.5,1103,7.1
Mon, Jan 9 2012,1300,547,7.7,547,9.3,1094,8.5
Mon, Jan 9 2012,1400,577,4.7,571,8.4,1148,6.5
Mon, Jan 9 2012,1500,614,6.8,727,7.6,1341,7.2
Mon, Jan 9 2012,1600,687,5.5,849,4.5,1536,4.9
Mon, Jan 9 2012,1700,577,5.7,968,4.1,1545,4.7
Mon, Jan 9 2012,1800,520,4.8,992,2.4,1512,3.2
Mon, Jan 9 2012,1900,536,4.3,898,2.7,1434,3.3
Mon, Jan 9 2012,2000,438,3.7,561,2,999,2.7
Mon, Jan 9 2012,2100,302,1.7,429,1.6,731,1.6
Mon, Jan 9 2012,2200,256,4.3,347,4.3,603,4.3
Mon, Jan 9 2012,2300,188,3.7,266,4.5,454,4.2
Mon, Jan 9 2012,2400,94,4.3,198,1.5,292,2.4
Tue, Jan 10 2012,0100,30,13.3,138,1.4,168,3.6
Tue, Jan 10 2012,0200,20,25,49,8.2,69,13
Tue, Jan 10 2012,0300,26,34.6,67,7.5,93,15.1
Tue, Jan 10 2012,0400,14,42.9,33,12.1,47,21.3
Tue, Jan 10 2012,0500,38,36.8,36,22.2,74,29.7
Tue, Jan 10 2012,0600,143,12.6,48,25,191,15.7
Tue, Jan 10 2012,0700,567,4.8,124,25.8,691,8.5
Tue, Jan 10 2012,0800,1046,4,290,11.4,1336,5.6
Tue, Jan 10 2012,0900,632,6,596,8.2,1228,7.1
Tue, Jan 10 2012,1000,594,5.2,488,11.9,1082,8.2
Tue, Jan 10 2012,1100,623,7.2,396,12.1,1019,9.1
Tue, Jan 10 2012,1200,596,7.4,497,11.1,1093,9.1
Tue, Jan 10 2012,1300,594,6.2,606,8.7,1200,7.5
Tue, Jan 10 2012,1400,594,8.4,588,5.1,1182,6.8
Tue, Jan 10 2012,1500,570,7.4,723,6.5,1293,6.9
Tue, Jan 10 2012,1600,604,7.5,844,5.8,1448,6.5
Tue, Jan 10 2012,1700,565,6.7,915,4.9,1480,5.6
Tue, Jan 10 2012,1800,556,5,1026,3.2,1582,3.9
Tue, Jan 10 2012,1900,527,3.6,979,2.2,1506,2.7
Tue, Jan 10 2012,2000,492,4.7,596,2.5,1088,3.5
Tue, Jan 10 2012,2100,326,2.5,472,2.3,798,2.4
Tue, Jan 10 2012,2200,251,4.4,378,4.2,629,4.3
Tue, Jan 10 2012,2300,169,4.1,269,2.6,438,3.2
Tue, Jan 10 2012,2400,115,6.1,204,2.5,319,3.8
Wed, Jan 11 2012,0100,39,10.3,115,2.6,154,4.5
Wed, Jan 11 2012,0200,26,11.5,52,3.8,78,6.4
Wed, Jan 11 2012,0300,21,23.8,69,11.6,90,14.4
Wed, Jan 11 2012,0400,23,17.4,49,10.2,72,12.5
Wed, Jan 11 2012,0500,31,41.9,30,36.7,61,39.3
Wed, Jan 11 2012,0600,159,12.6,34,23.5,193,14.5
Wed, Jan 11 2012,0700,547,6,115,20.9,662,8.6
Wed, Jan 11 2012,0800,1040,3.8,321,12.5,1361,5.9
Wed, Jan 11 2012,0900,677,6.1,614,8.1,1291,7
Wed, Jan 11 2012,1000,625,6.2,437,10.8,1062,8.1
Wed, Jan 11 2012,1100,723,5.3,450,11.1,1173,7.5
Wed, Jan 11 2012,1200,595,6.1,468,9.2,1063,7.4
Wed, Jan 11 2012,1300,590,8.1,616,7.1,1206,7.6
Wed, Jan 11 2012,1400,607,5.9,647,9.4,1254,7.7
Wed, Jan 11 2012,1500,572,6.8,706,6.9,1278,6.9
Wed, Jan 11 2012,1600,690,6.5,871,3.9,1561,5.1
Wed, Jan 11 2012,1700,589,6.6,940,4,1529,5
Wed, Jan 11 2012,1800,584,4.6,1027,3.7,1611,4
Wed, Jan 11 2012,1900,594,4.2,990,3.5,1584,3.8
Wed, Jan 11 2012,2000,485,3.9,698,2.7,1183,3.2
Wed, Jan 11 2012,2100,304,5.6,470,2.6,774,3.7
Wed, Jan 11 2012,2200,279,2.2,410,4.1,689,3.3
Wed, Jan 11 2012,2300,156,2.6,278,3.6,434,3.2
Wed, Jan 11 2012,2400,113,8,189,3.2,302,5
Thu, Jan 12 2012,0100,76,3.9,133,3.8,209,3.8
Thu, Jan 12 2012,0200,32,15.6,63,7.9,95,10.5
Thu, Jan 12 2012,0300,19,26.3,85,7.1,104,10.6
Thu, Jan 12 2012,0400,25,24,52,1.9,77,9.1
Thu, Jan 12 2012,0500,33,30.3,29,27.6,62,29
Thu, Jan 12 2012,0600,134,9,44,22.7,178,12.4
Thu, Jan 12 2012,0700,553,4.9,106,18.9,659,7.1
Thu, Jan 12 2012,0800,974,4.5,312,10.6,1286,6
Thu, Jan 12 2012,0900,720,6.2,603,9.5,1323,7.7
Thu, Jan 12 2012,1000,648,6.2,408,12.7,1056,8.7
Thu, Jan 12 2012,1100,681,5.7,442,11.5,1123,8
Thu, Jan 12 2012,1200,614,8.3,509,9.6,1123,8.9
Thu, Jan 12 2012,1300,592,7.6,566,8.5,1158,8
Thu, Jan 12 2012,1400,597,6,698,5.3,1295,5.6
Thu, Jan 12 2012,1500,607,7.9,730,6.4,1337,7.1
Thu, Jan 12 2012,1600,612,7,853,4.6,1465,5.6
Thu, Jan 12 2012,1700,617,7.6,1017,3.6,1634,5.1
Thu, Jan 12 2012,1800,631,5.1,1014,3,1645,3.8
Thu, Jan 12 2012,1900,623,2.7,957,2.5,1580,2.6
Thu, Jan 12 2012,2000,517,3.3,616,2.4,1133,2.8
Thu, Jan 12 2012,2100,358,5.3,548,2.2,906,3.4
Thu, Jan 12 2012,2200,244,4.1,427,3.3,671,3.6
Thu, Jan 12 2012,2300,206,3.4,311,3.2,517,3.3
Thu, Jan 12 2012,2400,112,2.7,222,3.2,334,3
Fri, Jan 13 2012,0100,57,8.8,165,3,222,4.5
Fri, Jan 13 2012,0200,29,13.8,74,9.5,103,10.7
Fri, Jan 13 2012,0300,21,28.6,66,3,87,9.2
Fri, Jan 13 2012,0400,25,28,34,2.9,59,13.6
Fri, Jan 13 2012,0500,49,16.3,48,25,97,20.6
Fri, Jan 13 2012,0600,184,11.4,44,15.9,228,12.3
Fri, Jan 13 2012,0700,482,5,117,26.5,599,9.2
Fri, Jan 13 2012,0800,1039,4.3,302,10.9,1341,5.8
Fri, Jan 13 2012,0900,689,4.4,599,8.7,1288,6.4
Fri, Jan 13 2012,1000,664,5.1,438,11.6,1102,7.7
Fri, Jan 13 2012,1100,690,8.6,467,10.9,1157,9.5
Fri, Jan 13 2012,1200,620,6.9,573,9.8,1193,8.3
Fri, Jan 13 2012,1300,632,8.5,743,7.1,1375,7.8
Fri, Jan 13 2012,1400,600,6.7,862,5.8,1462,6.2
Fri, Jan 13 2012,1500,641,6.2,933,6,1574,6.1
Fri, Jan 13 2012,1600,620,4.7,936,4.3,1556,4.4
Fri, Jan 13 2012,1700,666,5.3,956,5.2,1622,5.2
Fri, Jan 13 2012,1800,638,4.2,1011,5.1,1649,4.8
Fri, Jan 13 2012,1900,714,3.5,985,2.8,1699,3.1
Fri, Jan 13 2012,2000,612,2.5,877,1.5,1489,1.9
Fri, Jan 13 2012,2100,425,3.1,645,2.2,1070,2.5
Fri, Jan 13 2012,2200,348,2.9,480,3.5,828,3.3
Fri, Jan 13 2012,2300,193,5.2,348,2.9,541,3.7
Fri, Jan 13 2012,2400,118,5.1,308,1.6,426,2.6
Sat, Jan 14 2012,0100,82,4.9,132,6.1,214,5.6
Sat, Jan 14 2012,0200,59,8.5,111,1.8,170,4.1
Sat, Jan 14 2012,0300,34,8.8,70,8.6,104,8.7
Sat, Jan 14 2012,0400,29,13.8,48,6.2,77,9.1
Sat, Jan 14 2012,0500,42,21.4,47,12.8,89,16.9
Sat, Jan 14 2012,0600,96,8.3,21,9.5,117,8.5
Sat, Jan 14 2012,0700,137,5.1,64,21.9,201,10.4
Sat, Jan 14 2012,0800,261,5.7,119,11.8,380,7.6
Sat, Jan 14 2012,0900,396,4.3,206,5.8,602,4.8
Sat, Jan 14 2012,1000,587,2.2,290,7.6,877,4
Sat, Jan 14 2012,1100,663,3.6,440,7.5,1103,5.2
Sat, Jan 14 2012,1200,661,3.3,584,3.8,1245,3.5
Sat, Jan 14 2012,1300,719,2.6,677,4.1,1396,3.4
Sat, Jan 14 2012,1400,695,3.3,746,2.9,1441,3.1
Sat, Jan 14 2012,1500,692,3.5,757,2.2,1449,2.8
Sat, Jan 14 2012,1600,571,2.5,661,2.1,1232,2.3
Sat, Jan 14 2012,1700,583,1.7,826,2.1,1409,1.9
Sat, Jan 14 2012,1800,560,2.3,771,1,1331,1.6
Sat, Jan 14 2012,1900,543,1.5,801,1.9,1344,1.7
Sat, Jan 14 2012,2000,543,1.7,576,1.7,1119,1.7
Sat, Jan 14 2012,2100,436,0.9,517,1.7,953,1.4
Sat, Jan 14 2012,2200,324,1.5,340,1.8,664,1.7
Sat, Jan 14 2012,2300,173,0.6,200,1.5,373,1.1
Sat, Jan 14 2012,2400,100,0,208,1.4,308,1
Sun, Jan 15 2012,0100,78,2.6,131,0.8,209,1.4
Sun, Jan 15 2012,0200,48,0,107,1.9,155,1.3
Sun, Jan 15 2012,0300,43,2.3,89,2.2,132,2.3
Sun, Jan 15 2012,0400,50,2,80,1.2,130,1.5
Sun, Jan 15 2012,0500,36,5.6,53,3.8,89,4.5
Sun, Jan 15 2012,0600,57,3.5,36,0,93,2.2
Sun, Jan 15 2012,0700,81,3.7,32,3.1,113,3.5
Sun, Jan 15 2012,0800,126,1.6,67,3,193,2.1
Sun, Jan 15 2012,0900,183,4.4,120,1.7,303,3.3
Sun, Jan 15 2012,1000,309,1.3,241,3.7,550,2.4
Sun, Jan 15 2012,1100,376,2.7,283,3.5,659,3
Sun, Jan 15 2012,1200,517,1.5,428,2.3,945,1.9
Sun, Jan 15 2012,1300,657,1.4,595,1.8,1252,1.6
Sun, Jan 15 2012,1400,695,0.4,655,1.2,1350,0.8
Sun, Jan 15 2012,1500,724,1.1,659,1.1,1383,1.1
Sun, Jan 15 2012,1600,656,0.9,656,2.1,1312,1.5
Sun, Jan 15 2012,1700,738,1.4,797,1.3,1535,1.3
Sun, Jan 15 2012,1800,642,1.2,777,1.2,1419,1.2
Sun, Jan 15 2012,1900,684,0.4,688,1,1372,0.7
Sun, Jan 15 2012,2000,636,3.1,571,1.6,1207,2.4
Sun, Jan 15 2012,2100,564,1.1,547,2.9,1111,2
Sun, Jan 15 2012,2200,430,1.2,370,2.7,800,1.9
Sun, Jan 15 2012,2300,272,2.6,240,4.6,512,3.5
Sun, Jan 15 2012,2400,143,6.3,137,5.8,280,6.1
Mon, Jan 16 2012,0100,54,3.7,82,8.5,136,6.6
Mon, Jan 16 2012,0200,33,18.2,57,1.8,90,7.8
Mon, Jan 16 2012,0300,18,44.4,40,17.5,58,25.9
Mon, Jan 16 2012,0400,21,19,24,8.3,45,13.3
Mon, Jan 16 2012,0500,50,28,25,28,75,28
Mon, Jan 16 2012,0600,155,5.2,53,11.3,208,6.7
Mon, Jan 16 2012,0700,607,5.1,142,9.9,749,6
Mon, Jan 16 2012,0800,1057,3.4,345,9.9,1402,5
Mon, Jan 16 2012,0900,678,6.3,602,6.5,1280,6.4
Mon, Jan 16 2012,1000,628,7.6,409,10,1037,8.6
Mon, Jan 16 2012,1100,645,5.4,418,11.5,1063,7.8
Mon, Jan 16 2012,1200,563,6.2,482,10,1045,7.9
Mon, Jan 16 2012,1300,598,6,589,9.2,1187,7.6
Mon, Jan 16 2012,1400,611,5.7,596,7.4,1207,6.5
Mon, Jan 16 2012,1500,579,7.4,661,7.1,1240,7.3
Mon, Jan 16 2012,1600,622,7.9,825,4.6,1447,6
Mon, Jan 16 2012,1700,563,6.2,955,2.8,1518,4.1
Mon, Jan 16 2012,1800,575,3.7,1034,3.6,1609,3.6
Mon, Jan 16 2012,1900,548,3.8,972,2.5,1520,3
Mon, Jan 16 2012,2000,504,4,574,3,1078,3.4
Mon, Jan 16 2012,2100,337,4.5,459,2.8,796,3.5
Mon, Jan 16 2012,2200,253,4.3,338,4.7,591,4.6
Mon, Jan 16 2012,2300,189,4.8,298,3.4,487,3.9
Mon, Jan 16 2012,2400,98,11.2,187,1.6,285,4.9
Tue, Jan 17 2012,0100,45,4.4,148,4.1,193,4.1
Tue, Jan 17 2012,0200,23,13,47,4.3,70,7.1
Tue, Jan 17 2012,0300,20,25,62,8.1,82,12.2
Tue, Jan 17 2012,0400,18,27.8,27,0,45,11.1
Tue, Jan 17 2012,0500,41,26.8,29,31,70,28.6
Tue, Jan 17 2012,0600,132,14.4,52,38.5,184,21.2
Tue, Jan 17 2012,0700,563,4.6,91,20.9,654,6.9
Tue, Jan 17 2012,0800,974,5.4,298,10.4,1272,6.6
Tue, Jan 17 2012,0900,599,7,620,8.5,1219,7.8
Tue, Jan 17 2012,1000,656,7.9,455,10.8,1111,9.1
Tue, Jan 17 2012,1100,637,5.3,437,12.6,1074,8.3
Tue, Jan 17 2012,1200,623,7.2,507,13.2,1130,9.9
Tue, Jan 17 2012,1300,555,8.6,586,8.9,1141,8.8
Tue, Jan 17 2012,1400,608,7.7,633,7.7,1241,7.7
Tue, Jan 17 2012,1500,596,6.4,698,6.7,1294,6.6
Tue, Jan 17 2012,1600,629,5.4,855,5,1484,5.2
Tue, Jan 17 2012,1700,594,8.9,931,4.2,1525,6
Tue, Jan 17 2012,1800,577,4.5,1060,3.2,1637,3.7
Tue, Jan 17 2012,1900,591,3.7,939,3.9,1530,3.9
Tue, Jan 17 2012,2000,484,4.1,627,3,1111,3.5
Tue, Jan 17 2012,2100,327,3.7,514,2.3,841,2.9
Tue, Jan 17 2012,2200,246,4.5,436,3.4,682,3.8
Tue, Jan 17 2012,2300,219,2.7,282,4.3,501,3.6
Tue, Jan 17 2012,2400,144,3.5,209,2.9,353,3.1
Wed, Jan 18 2012,0100,52,9.6,122,4.1,174,5.7
Wed, Jan 18 2012,0200,31,9.7,63,7.9,94,8.5
Wed, Jan 18 2012,0300,21,19,68,7.4,89,10.1
