Day of Week,Date,Hour ending,Hourly volume Northbound,HCV % Northbound,Hourly volume Southbound,HCV % Southbound,Total volume,Total % HCV
Fri, Apr 8 2011,0100,16,37.5,16,31.2,32,34.4
Fri, Apr 8 2011,0200,15,33.3,12,25,27,29.6
Fri, Apr 8 2011,0300,14,28.6,9,22.2,23,26.1
Fri, Apr 8 2011,0400,7,14.3,13,69.2,20,50
Fri, Apr 8 2011,0500,14,28.6,25,36,39,33.3
Fri, Apr 8 2011,0600,36,38.9,69,29,105,32.4
Fri, Apr 8 2011,0700,122,11.5,97,24.7,219,17.4
Fri, Apr 8 2011,0800,291,9.3,340,6.8,631,7.9
Fri, Apr 8 2011,0900,367,12.5,517,4.6,884,7.9
Fri, Apr 8 2011,1000,304,13.5,377,10.9,681,12
Fri, Apr 8 2011,1100,292,14.4,319,10,611,12.1
Fri, Apr 8 2011,1200,337,11.6,310,12.3,647,11.9
Fri, Apr 8 2011,1300,392,10.5,329,10.9,721,10.7
Fri, Apr 8 2011,1400,470,7,388,7.5,858,7.2
Fri, Apr 8 2011,1500,490,7.6,435,6.7,925,7.1
Fri, Apr 8 2011,1600,627,7.3,555,5.8,1182,6.6
Fri, Apr 8 2011,1700,611,5.4,566,5.7,1177,5.5
Fri, Apr 8 2011,1800,660,3.9,553,4.7,1213,4.3
Fri, Apr 8 2011,1900,539,3.9,446,4.7,985,4.3
Fri, Apr 8 2011,2000,416,3.4,393,4.1,809,3.7
Fri, Apr 8 2011,2100,259,4.6,300,4,559,4.3
Fri, Apr 8 2011,2200,203,4.4,182,4.9,385,4.7
Fri, Apr 8 2011,2300,123,5.7,141,2.8,264,4.2
Fri, Apr 8 2011,2400,85,4.7,81,6.2,166,5.4
Sat, Apr 9 2011,0100,35,11.4,47,8.5,82,9.8
Sat, Apr 9 2011,0200,38,2.6,25,8,63,4.8
Sat, Apr 9 2011,0300,19,15.8,20,30,39,23.1
Sat, Apr 9 2011,0400,12,16.7,20,15,32,15.6
Sat, Apr 9 2011,0500,8,12.5,24,29.2,32,25
Sat, Apr 9 2011,0600,19,15.8,42,21.4,61,19.7
Sat, Apr 9 2011,0700,68,17.6,63,27,131,22.1
Sat, Apr 9 2011,0800,130,14.6,143,13.3,273,13.9
Sat, Apr 9 2011,0900,183,10.4,185,7,368,8.7
Sat, Apr 9 2011,1000,253,10.3,284,9.2,537,9.7
Sat, Apr 9 2011,1100,284,5.6,354,3.4,638,4.4
Sat, Apr 9 2011,1200,386,6.7,328,5.2,714,6
Sat, Apr 9 2011,1300,451,3.5,394,3.8,845,3.7
Sat, Apr 9 2011,1400,387,2.1,450,3.3,837,2.7
Sat, Apr 9 2011,1500,407,2.2,368,2.4,775,2.3
Sat, Apr 9 2011,1600,387,3.1,351,3.1,738,3.1
Sat, Apr 9 2011,1700,392,3.6,333,4.5,725,4
Sat, Apr 9 2011,1800,449,2.7,356,4.8,805,3.6
Sat, Apr 9 2011,1900,365,2.2,317,2.2,682,2.2
Sat, Apr 9 2011,2000,264,2.7,248,3.2,512,2.9
Sat, Apr 9 2011,2100,205,4.9,217,2.3,422,3.6
Sat, Apr 9 2011,2200,198,2.5,149,2,347,2.3
Sat, Apr 9 2011,2300,98,1,84,3.6,182,2.2
Sat, Apr 9 2011,2400,70,0,82,2.4,152,1.3
Sun, Apr 10 2011,0100,48,0,35,2.9,83,1.2
Sun, Apr 10 2011,0200,19,0,47,2.1,66,1.5
Sun, Apr 10 2011,0300,23,0,30,0,53,0
Sun, Apr 10 2011,0400,27,3.7,18,11.1,45,6.7
Sun, Apr 10 2011,0500,14,14.3,24,8.3,38,10.5
Sun, Apr 10 2011,0600,16,12.5,27,0,43,4.7
Sun, Apr 10 2011,0700,40,5,39,2.6,79,3.8
Sun, Apr 10 2011,0800,82,7.3,69,4.3,151,6
Sun, Apr 10 2011,0900,109,9.2,115,6.1,224,7.6
Sun, Apr 10 2011,1000,149,3.4,153,6.5,302,5
Sun, Apr 10 2011,1100,208,4.3,239,7.9,447,6.3
Sun, Apr 10 2011,1200,299,2.3,294,5.1,593,3.7
Sun, Apr 10 2011,1300,428,1.2,365,1.4,793,1.3
Sun, Apr 10 2011,1400,439,2.1,442,3.2,881,2.6
Sun, Apr 10 2011,1500,459,2,395,1.8,854,1.9
Sun, Apr 10 2011,1600,433,2.3,391,2.6,824,2.4
Sun, Apr 10 2011,1700,445,3.6,501,1.6,946,2.5
Sun, Apr 10 2011,1800,428,3,413,3.4,841,3.2
Sun, Apr 10 2011,1900,416,3.6,503,2,919,2.7
Sun, Apr 10 2011,2000,350,3.7,493,2.6,843,3.1
Sun, Apr 10 2011,2100,339,5.3,384,2.3,723,3.7
Sun, Apr 10 2011,2200,201,4,258,2.7,459,3.3
Sun, Apr 10 2011,2300,117,6,137,4.4,254,5.1
Sun, Apr 10 2011,2400,65,3.1,71,2.8,136,2.9
Mon, Apr 11 2011,0100,41,4.9,39,5.1,80,5
Mon, Apr 11 2011,0200,41,0,19,5.3,60,1.7
Mon, Apr 11 2011,0300,9,22.2,14,21.4,23,21.7
Mon, Apr 11 2011,0400,15,20,10,30,25,24
Mon, Apr 11 2011,0500,15,20,23,21.7,38,21.1
Mon, Apr 11 2011,0600,63,20.6,88,22.7,151,21.9
Mon, Apr 11 2011,0700,183,7.7,167,10.8,350,9.1
Mon, Apr 11 2011,0800,344,7.6,427,6.1,771,6.7
Mon, Apr 11 2011,0900,393,9.7,603,4.5,996,6.5
Mon, Apr 11 2011,1000,304,10.9,400,6.2,704,8.2
Mon, Apr 11 2011,1100,307,10.7,305,11.8,612,11.3
Mon, Apr 11 2011,1200,273,13.9,299,12,572,12.9
Mon, Apr 11 2011,1300,307,13.4,260,13.5,567,13.4
Mon, Apr 11 2011,1400,292,11.3,303,12.2,595,11.8
Mon, Apr 11 2011,1500,302,13.2,326,10.1,628,11.6
Mon, Apr 11 2011,1600,341,7.3,339,9.1,680,8.2
Mon, Apr 11 2011,1700,424,4,372,9.4,796,6.5
Mon, Apr 11 2011,1800,568,6.2,363,4.7,931,5.6
Mon, Apr 11 2011,1900,446,8.1,343,5.2,789,6.8
Mon, Apr 11 2011,2000,204,8.3,279,7.9,483,8.1
Mon, Apr 11 2011,2100,166,9,186,9.1,352,9.1
Mon, Apr 11 2011,2200,157,5.1,137,6.6,294,5.8
Mon, Apr 11 2011,2300,106,6.6,89,6.7,195,6.7
Mon, Apr 11 2011,2400,43,9.3,52,7.7,95,8.4
Tue, Apr 12 2011,0100,28,28.6,40,12.5,68,19.1
Tue, Apr 12 2011,0200,8,0,17,29.4,25,20
Tue, Apr 12 2011,0300,14,21.4,6,33.3,20,25
Tue, Apr 12 2011,0400,27,11.1,16,50,43,25.6
Tue, Apr 12 2011,0500,11,54.5,29,48.3,40,50
Tue, Apr 12 2011,0600,39,35.9,56,23.2,95,28.4
Tue, Apr 12 2011,0700,146,9.6,127,19.7,273,14.3
Tue, Apr 12 2011,0800,300,12,378,8.5,678,10
Tue, Apr 12 2011,0900,349,10.3,580,5.2,929,7.1
Tue, Apr 12 2011,1000,357,14,423,10.4,780,12.1
Tue, Apr 12 2011,1100,299,13,304,10.9,603,11.9
Tue, Apr 12 2011,1200,304,11.8,253,13,557,12.4
Tue, Apr 12 2011,1300,305,14.8,277,12.6,582,13.7
Tue, Apr 12 2011,1400,304,14.8,283,9.9,587,12.4
Tue, Apr 12 2011,1500,319,10.7,285,11.6,604,11.1
Tue, Apr 12 2011,1600,359,10.6,332,9.9,691,10.3
Tue, Apr 12 2011,1700,438,7.3,408,7.1,846,7.2
Tue, Apr 12 2011,1800,622,5.9,413,6.8,1035,6.3
Tue, Apr 12 2011,1900,447,6.9,353,6.8,800,6.9
Tue, Apr 12 2011,2000,210,5.2,265,8.3,475,6.9
Tue, Apr 12 2011,2100,166,9,166,6.6,332,7.8
Tue, Apr 12 2011,2200,154,7.1,145,5.5,299,6.4
Tue, Apr 12 2011,2300,105,2.9,91,4.4,196,3.6
Tue, Apr 12 2011,2400,31,3.2,54,9.3,85,7.1
Wed, Apr 13 2011,0100,39,17.9,30,13.3,69,15.9
Wed, Apr 13 2011,0200,21,0,10,10,31,3.2
Wed, Apr 13 2011,0300,9,55.6,8,37.5,17,47.1
Wed, Apr 13 2011,0400,4,50,11,45.5,15,46.7
Wed, Apr 13 2011,0500,14,42.9,19,31.6,33,36.4
Wed, Apr 13 2011,0600,32,37.5,65,16.9,97,23.7
Wed, Apr 13 2011,0700,147,12.2,122,11.5,269,11.9
Wed, Apr 13 2011,0800,324,9.9,333,8.7,657,9.3
Wed, Apr 13 2011,0900,345,10.1,566,3.7,911,6.1
Wed, Apr 13 2011,1000,306,9.8,393,7.4,699,8.4
Wed, Apr 13 2011,1100,288,14.2,284,7,572,10.7
Wed, Apr 13 2011,1200,289,14.2,262,14.9,551,14.5
Wed, Apr 13 2011,1300,298,11.4,287,8,585,9.7
Wed, Apr 13 2011,1400,317,10.7,266,11.3,583,11
Wed, Apr 13 2011,1500,309,10,325,11.7,634,10.9
Wed, Apr 13 2011,1600,354,8.8,343,8.2,697,8.5
Wed, Apr 13 2011,1700,482,5.6,397,8.3,879,6.8
Wed, Apr 13 2011,1800,593,4.6,413,7,1006,5.6
Wed, Apr 13 2011,1900,436,3.2,384,7.8,820,5.4
Wed, Apr 13 2011,2000,273,5.1,311,6.1,584,5.7
Wed, Apr 13 2011,2100,175,6.9,203,7.9,378,7.4
Wed, Apr 13 2011,2200,176,9.1,154,7.1,330,8.2
Wed, Apr 13 2011,2300,96,4.2,76,9.2,172,6.4
Wed, Apr 13 2011,2400,68,7.4,48,8.3,116,7.8
Thu, Apr 14 2011,0100,19,5.3,31,12.9,50,10
Thu, Apr 14 2011,0200,13,23.1,17,23.5,30,23.3
Thu, Apr 14 2011,0300,8,37.5,13,46.2,21,42.9
Thu, Apr 14 2011,0400,9,33.3,15,46.7,24,41.7
Thu, Apr 14 2011,0500,18,22.2,26,26.9,44,25
Thu, Apr 14 2011,0600,37,29.7,62,24.2,99,26.3
Thu, Apr 14 2011,0700,134,9.7,144,16.7,278,13.3
Thu, Apr 14 2011,0800,307,11.7,434,6.2,741,8.5
Thu, Apr 14 2011,0900,346,8.4,607,4.4,953,5.9
Thu, Apr 14 2011,1000,310,10.6,437,8.9,747,9.6
Thu, Apr 14 2011,1100,308,11.4,328,11,636,11.2
Thu, Apr 14 2011,1200,318,14.5,274,13.5,592,14
Thu, Apr 14 2011,1300,328,11.3,302,11.6,630,11.4
Thu, Apr 14 2011,1400,325,9.5,299,10.7,624,10.1
Thu, Apr 14 2011,1500,414,11.1,301,8.6,715,10.1
Thu, Apr 14 2011,1600,359,7.8,351,9.4,710,8.6
Thu, Apr 14 2011,1700,466,6.2,382,9.2,848,7.5
Thu, Apr 14 2011,1800,615,4.7,476,7.1,1091,5.8
Thu, Apr 14 2011,1900,483,6.2,348,6,831,6.1
Thu, Apr 14 2011,2000,266,5.6,265,6,531,5.8
Thu, Apr 14 2011,2100,217,6.5,209,5.7,426,6.1
Thu, Apr 14 2011,2200,185,5.4,183,6,368,5.7
Thu, Apr 14 2011,2300,127,7.9,104,3.8,231,6.1
Thu, Apr 14 2011,2400,62,8.1,61,9.8,123,8.9
Fri, Apr 15 2011,0100,40,10,40,7.5,80,8.8
Fri, Apr 15 2011,0200,20,5,13,23.1,33,12.1
Fri, Apr 15 2011,0300,10,60,5,40,15,53.3
Fri, Apr 15 2011,0400,11,18.2,16,50,27,37
Fri, Apr 15 2011,0500,19,52.6,24,37.5,43,44.2
Fri, Apr 15 2011,0600,33,24.2,71,33.8,104,30.8
Fri, Apr 15 2011,0700,115,7.8,103,27.2,218,17
Fri, Apr 15 2011,0800,273,10.6,343,5.5,616,7.8
Fri, Apr 15 2011,0900,319,11,549,6.4,868,8.1
Fri, Apr 15 2011,1000,270,13,399,10,669,11.2
Fri, Apr 15 2011,1100,305,14.1,305,11.8,610,13
Fri, Apr 15 2011,1200,340,11.5,302,11.3,642,11.4
Fri, Apr 15 2011,1300,390,9.5,410,7.8,800,8.6
Fri, Apr 15 2011,1400,463,9.3,395,7.1,858,8.3
Fri, Apr 15 2011,1500,546,8.4,461,6.3,1007,7.4
Fri, Apr 15 2011,1600,588,6.6,487,6,1075,6.3
Fri, Apr 15 2011,1700,688,4.9,558,7.9,1246,6.3
Fri, Apr 15 2011,1800,703,4.7,559,4.7,1262,4.7
Fri, Apr 15 2011,1900,612,4.6,522,5.2,1134,4.9
Fri, Apr 15 2011,2000,399,3.8,390,5.9,789,4.8
Fri, Apr 15 2011,2100,279,5,249,4.4,528,4.7
Fri, Apr 15 2011,2200,245,2.9,195,4.1,440,3.4
Fri, Apr 15 2011,2300,138,3.6,147,2.7,285,3.2
Fri, Apr 15 2011,2400,69,5.8,89,6.7,158,6.3
Sat, Apr 16 2011,0100,47,4.3,36,8.3,83,6
Sat, Apr 16 2011,0200,25,16,38,10.5,63,12.7
Sat, Apr 16 2011,0300,20,10,19,10.5,39,10.3
Sat, Apr 16 2011,0400,24,4.2,20,20,44,11.4
Sat, Apr 16 2011,0500,18,16.7,37,5.4,55,9.1
Sat, Apr 16 2011,0600,22,13.6,36,13.9,58,13.8
Sat, Apr 16 2011,0700,58,10.3,70,18.6,128,14.8
Sat, Apr 16 2011,0800,127,10.2,129,13.2,256,11.7
Sat, Apr 16 2011,0900,239,9.2,199,6.5,438,8
Sat, Apr 16 2011,1000,253,5.1,277,6.9,530,6
Sat, Apr 16 2011,1100,333,4.5,374,7.2,707,5.9
Sat, Apr 16 2011,1200,393,3.1,406,4.7,799,3.9
Sat, Apr 16 2011,1300,399,4.3,394,4.3,793,4.3
Sat, Apr 16 2011,1400,482,3.1,368,2.4,850,2.8
Sat, Apr 16 2011,1500,453,4,411,2.2,864,3.1
Sat, Apr 16 2011,1600,404,3.5,382,2.4,786,2.9
Sat, Apr 16 2011,1700,401,3,454,2.2,855,2.6
Sat, Apr 16 2011,1800,384,3.4,563,2.8,947,3.1
Sat, Apr 16 2011,1900,349,2.9,413,3.4,762,3.1
Sat, Apr 16 2011,2000,238,3.4,306,3.9,544,3.7
Sat, Apr 16 2011,2100,468,2.8,229,3.1,697,2.9
Sat, Apr 16 2011,2200,165,3.6,147,1.4,312,2.6
Sat, Apr 16 2011,2300,103,0,104,2.9,207,1.4
Sat, Apr 16 2011,2400,56,1.8,63,1.6,119,1.7
Sun, Apr 17 2011,0100,36,0,47,2.1,83,1.2
Sun, Apr 17 2011,0200,26,0,32,9.4,58,5.2
Sun, Apr 17 2011,0300,36,2.8,18,0,54,1.9
Sun, Apr 17 2011,0400,25,4,18,0,43,2.3
Sun, Apr 17 2011,0500,8,12.5,21,0,29,3.4
Sun, Apr 17 2011,0600,11,27.3,31,6.5,42,11.9
Sun, Apr 17 2011,0700,28,7.1,46,6.5,74,6.8
Sun, Apr 17 2011,0800,48,4.2,64,3.1,112,3.6
Sun, Apr 17 2011,0900,115,7.8,115,8.7,230,8.3
Sun, Apr 17 2011,1000,174,5.2,185,7,359,6.1
Sun, Apr 17 2011,1100,259,6.2,233,3.9,492,5.1
Sun, Apr 17 2011,1200,344,4.4,345,4.3,689,4.4
Sun, Apr 17 2011,1300,382,2.4,433,2.1,815,2.2
Sun, Apr 17 2011,1400,428,1.2,450,2.4,878,1.8
Sun, Apr 17 2011,1500,439,2.3,421,3.1,860,2.7
Sun, Apr 17 2011,1600,426,2.3,449,1.8,875,2.1
Sun, Apr 17 2011,1700,460,2.8,454,1.8,914,2.3
Sun, Apr 17 2011,1800,455,2.9,468,1.7,923,2.3
Sun, Apr 17 2011,1900,507,5.1,453,2.9,960,4.1
Sun, Apr 17 2011,2000,380,3.4,439,3,819,3.2
Sun, Apr 17 2011,2100,284,4.2,339,3.2,623,3.7
Sun, Apr 17 2011,2200,220,3.6,251,3.2,471,3.4
Sun, Apr 17 2011,2300,131,3.8,135,2.2,266,3
Sun, Apr 17 2011,2400,61,0,85,5.9,146,3.4
Mon, Apr 18 2011,0100,55,5.5,33,9.1,88,6.8
Mon, Apr 18 2011,0200,23,0,22,13.6,45,6.7
Mon, Apr 18 2011,0300,11,18.2,11,45.5,22,31.8
Mon, Apr 18 2011,0400,6,16.7,12,25,18,22.2
Mon, Apr 18 2011,0500,12,41.7,22,13.6,34,23.5
Mon, Apr 18 2011,0600,43,23.3,85,24.7,128,24.2
Mon, Apr 18 2011,0700,168,10.1,176,10.8,344,10.5
Mon, Apr 18 2011,0800,341,8.8,415,7.7,756,8.2
Mon, Apr 18 2011,0900,336,11.9,546,5.7,882,8
Mon, Apr 18 2011,1000,311,10.9,351,7.1,662,8.9
Mon, Apr 18 2011,1100,299,10.7,311,10.9,610,10.8
Mon, Apr 18 2011,1200,339,9.7,312,9.3,651,9.5
Mon, Apr 18 2011,1300,341,10.3,331,11.5,672,10.9
Mon, Apr 18 2011,1400,372,9.9,297,9.4,669,9.7
Mon, Apr 18 2011,1500,380,8.7,336,6.8,716,7.8
Mon, Apr 18 2011,1600,363,8.5,377,8.2,740,8.4
Mon, Apr 18 2011,1700,438,6.6,379,9,817,7.7
Mon, Apr 18 2011,1800,622,4.2,432,4.2,1054,4.2
Mon, Apr 18 2011,1900,480,5.2,369,6,849,5.5
Mon, Apr 18 2011,2000,235,5.1,282,5.3,517,5.2
Mon, Apr 18 2011,2100,162,10.5,197,6.1,359,8.1
Mon, Apr 18 2011,2200,154,7.1,162,4.9,316,6
Mon, Apr 18 2011,2300,87,4.6,101,11.9,188,8.5
Mon, Apr 18 2011,2400,48,8.3,59,11.9,107,10.3
Tue, Apr 19 2011,0100,41,9.8,31,3.2,72,6.9
Tue, Apr 19 2011,0200,13,7.7,13,23.1,26,15.4
Tue, Apr 19 2011,0300,6,33.3,7,14.3,13,23.1
Tue, Apr 19 2011,0400,8,37.5,18,44.4,26,42.3
Tue, Apr 19 2011,0500,14,35.7,31,25.8,45,28.9
Tue, Apr 19 2011,0600,36,27.8,78,30.8,114,29.8
Tue, Apr 19 2011,0700,129,10.1,132,15.2,261,12.6
Tue, Apr 19 2011,0800,300,12.3,384,7.8,684,9.8
Tue, Apr 19 2011,0900,383,10.4,548,6,931,7.8
Tue, Apr 19 2011,1000,320,12.8,430,7.7,750,9.9
Tue, Apr 19 2011,1100,306,8.2,359,11.4,665,9.9
Tue, Apr 19 2011,1200,361,11.6,331,12.7,692,12.1
Tue, Apr 19 2011,1300,378,11.4,311,8.7,689,10.2
Tue, Apr 19 2011,1400,331,13.3,324,8.3,655,10.8
Tue, Apr 19 2011,1500,391,11,331,8.8,722,10
Tue, Apr 19 2011,1600,368,8.2,367,11.4,735,9.8
Tue, Apr 19 2011,1700,495,6.5,398,6.5,893,6.5
Tue, Apr 19 2011,1800,604,6.3,460,5.7,1064,6
Tue, Apr 19 2011,1900,480,6,419,5.5,899,5.8
Tue, Apr 19 2011,2000,225,5.8,280,6.1,505,5.9
Tue, Apr 19 2011,2100,217,5.1,204,5.9,421,5.5
Tue, Apr 19 2011,2200,193,4.7,168,8.9,361,6.6
Tue, Apr 19 2011,2300,102,10.8,116,5.2,218,7.8
Tue, Apr 19 2011,2400,50,2,57,5.3,107,3.7
Wed, Apr 20 2011,0100,31,12.9,20,20,51,15.7
Wed, Apr 20 2011,0200,13,15.4,11,36.4,24,25
Wed, Apr 20 2011,0300,15,33.3,11,27.3,26,30.8
Wed, Apr 20 2011,0400,8,37.5,17,35.3,25,36
Wed, Apr 20 2011,0500,17,23.5,27,7.4,44,13.6
Wed, Apr 20 2011,0600,42,33.3,81,25.9,123,28.5
Wed, Apr 20 2011,0700,136,12.5,149,18.1,285,15.4
Wed, Apr 20 2011,0800,307,11.1,378,9,685,9.9
Wed, Apr 20 2011,0900,326,14.1,523,4.4,849,8.1
Wed, Apr 20 2011,1000,305,13.8,397,9.1,702,11.1
Wed, Apr 20 2011,1100,356,11.8,334,9.3,690,10.6
Wed, Apr 20 2011,1200,367,11.4,354,6.2,721,8.9
Wed, Apr 20 2011,1300,374,12.8,355,10.4,729,11.7
Wed, Apr 20 2011,1400,381,10.8,359,10.9,740,10.8
Wed, Apr 20 2011,1500,412,8.3,344,8.1,756,8.2
Wed, Apr 20 2011,1600,426,7.5,452,8.2,878,7.9
Wed, Apr 20 2011,1700,486,4.1,424,10.8,910,7.3
Wed, Apr 20 2011,1800,622,5.8,436,5.3,1058,5.6
Wed, Apr 20 2011,1900,492,4.9,449,6.9,941,5.8
Wed, Apr 20 2011,2000,270,3.7,345,3.8,615,3.7
Wed, Apr 20 2011,2100,178,8.4,237,5.1,415,6.5
Wed, Apr 20 2011,2200,237,5.1,162,15.4,399,9.3
Wed, Apr 20 2011,2300,116,4.3,98,7.1,214,5.6
Wed, Apr 20 2011,2400,80,8.8,49,10.2,129,9.3
Thu, Apr 21 2011,0100,35,17.1,28,17.9,63,17.5
Thu, Apr 21 2011,0200,10,0,8,37.5,18,16.7
Thu, Apr 21 2011,0300,15,40,15,13.3,30,26.7
Thu, Apr 21 2011,0400,11,27.3,17,47.1,28,39.3
Thu, Apr 21 2011,0500,20,60,32,34.4,52,44.2
Thu, Apr 21 2011,0600,41,22,65,27.7,106,25.5
Thu, Apr 21 2011,0700,143,14,130,23.8,273,18.7
Thu, Apr 21 2011,0800,258,12.8,370,7.3,628,9.6
Thu, Apr 21 2011,0900,320,11.6,493,8.3,813,9.6
Thu, Apr 21 2011,1000,315,15.9,442,9.7,757,12.3
Thu, Apr 21 2011,1100,366,9.6,378,10.8,744,10.2
Thu, Apr 21 2011,1200,416,10.3,336,10.4,752,10.4
Thu, Apr 21 2011,1300,413,9.4,332,11.1,745,10.2
Thu, Apr 21 2011,1400,396,8.8,356,7.9,752,8.4
Thu, Apr 21 2011,1500,432,10,390,9,822,9.5
Thu, Apr 21 2011,1600,475,7.6,387,7.5,862,7.5
Thu, Apr 21 2011,1700,542,9,442,7.7,984,8.4
Thu, Apr 21 2011,1800,667,4.5,548,6.2,1215,5.3
Thu, Apr 21 2011,1900,535,5.6,388,6.4,923,6
Thu, Apr 21 2011,2000,349,2.6,412,4.9,761,3.8
Thu, Apr 21 2011,2100,254,3.1,310,4.5,564,3.9
Thu, Apr 21 2011,2200,270,3.3,187,4.8,457,3.9
Thu, Apr 21 2011,2300,127,11,130,6.2,257,8.6
Thu, Apr 21 2011,2400,64,6.2,75,9.3,139,7.9
Fri, Apr 22 2011,0100,48,10.4,36,16.7,84,13.1
Fri, Apr 22 2011,0200,37,13.5,21,14.3,58,13.8
Fri, Apr 22 2011,0300,11,18.2,12,25,23,21.7
Fri, Apr 22 2011,0400,16,31.2,13,30.8,29,31
Fri, Apr 22 2011,0500,17,29.4,35,25.7,52,26.9
Fri, Apr 22 2011,0600,32,34.4,56,32.1,88,33
Fri, Apr 22 2011,0700,90,20,103,33,193,26.9
Fri, Apr 22 2011,0800,216,12,212,12.7,428,12.4
Fri, Apr 22 2011,0900,241,14.9,324,8,565,11
Fri, Apr 22 2011,1000,253,15.8,280,8.9,533,12.2
Fri, Apr 22 2011,1100,371,7.8,281,10.3,652,8.9
Fri, Apr 22 2011,1200,436,8.5,413,8.2,849,8.4
Fri, Apr 22 2011,1300,530,6.8,465,6.2,995,6.5
Fri, Apr 22 2011,1400,497,6.2,532,5.8,1029,6
Fri, Apr 22 2011,1500,529,4.3,484,7,1013,5.6
Fri, Apr 22 2011,1600,526,5.5,539,5.9,1065,5.7
Fri, Apr 22 2011,1700,561,4.6,514,4.9,1075,4.7
Fri, Apr 22 2011,1800,453,4.6,510,5.7,963,5.2
Fri, Apr 22 2011,1900,406,4.2,388,3.9,794,4
Fri, Apr 22 2011,2000,255,3.9,356,3.7,611,3.8
Fri, Apr 22 2011,2100,245,4.1,251,2.8,496,3.4
Fri, Apr 22 2011,2200,219,5,171,3.5,390,4.4
Fri, Apr 22 2011,2300,112,8.9,114,1.8,226,5.3
Fri, Apr 22 2011,2400,76,3.9,55,5.5,131,4.6
Sat, Apr 23 2011,0100,30,6.7,34,14.7,64,10.9
Sat, Apr 23 2011,0200,14,21.4,13,7.7,27,14.8
Sat, Apr 23 2011,0300,4,50,11,18.2,15,26.7
Sat, Apr 23 2011,0400,4,50,14,7.1,18,16.7
Sat, Apr 23 2011,0500,7,14.3,21,19,28,17.9
Sat, Apr 23 2011,0600,30,30,47,10.6,77,18.2
Sat, Apr 23 2011,0700,34,11.8,56,25,90,20
Sat, Apr 23 2011,0800,106,9.4,123,8.9,229,9.2
Sat, Apr 23 2011,0900,147,7.5,167,7.2,314,7.3
Sat, Apr 23 2011,1000,243,6.6,238,4.2,481,5.4
Sat, Apr 23 2011,1100,402,2.5,366,3.8,768,3.1
Sat, Apr 23 2011,1200,456,3.1,393,1.8,849,2.5
Sat, Apr 23 2011,1300,512,2.7,499,2.8,1011,2.8
Sat, Apr 23 2011,1400,514,3.1,434,2.5,948,2.8
Sat, Apr 23 2011,1500,535,3,428,2.6,963,2.8
Sat, Apr 23 2011,1600,420,2.4,439,2.1,859,2.2
Sat, Apr 23 2011,1700,443,2.7,369,2.2,812,2.5
Sat, Apr 23 2011,1800,368,1.6,403,3.5,771,2.6
Sat, Apr 23 2011,1900,352,2.6,348,2,700,2.3
Sat, Apr 23 2011,2000,243,1.6,329,3,572,2.4
Sat, Apr 23 2011,2100,191,2.6,218,1.4,409,2
Sat, Apr 23 2011,2200,152,2.6,140,4.3,292,3.4
Sat, Apr 23 2011,2300,95,1.1,81,2.5,176,1.7
Sat, Apr 23 2011,2400,62,0,57,1.8,119,0.8
Sun, Apr 24 2011,0100,28,0,50,0,78,0
Sun, Apr 24 2011,0200,23,0,33,0,56,0
Sun, Apr 24 2011,0300,29,0,27,0,56,0
Sun, Apr 24 2011,0400,15,6.7,20,5,35,5.7
Sun, Apr 24 2011,0500,12,0,23,8.7,35,5.7
Sun, Apr 24 2011,0600,10,30,30,0,40,7.5
Sun, Apr 24 2011,0700,36,0,37,2.7,73,1.4
Sun, Apr 24 2011,0800,57,5.3,54,7.4,111,6.3
Sun, Apr 24 2011,0900,76,7.9,92,4.3,168,6
Sun, Apr 24 2011,1000,128,6.2,140,6.4,268,6.3
Sun, Apr 24 2011,1100,240,5,180,3.3,420,4.3
Sun, Apr 24 2011,1200,328,3.7,291,2.4,619,3.1
Sun, Apr 24 2011,1300,456,4.2,379,4.5,835,4.3
Sun, Apr 24 2011,1400,553,2.7,418,1,971,2
Sun, Apr 24 2011,1500,424,2.4,362,1.4,786,1.9
Sun, Apr 24 2011,1600,340,2.1,374,1.9,714,2
Sun, Apr 24 2011,1700,358,1.7,332,2.7,690,2.2
Sun, Apr 24 2011,1800,318,1.9,420,5.2,738,3.8
Sun, Apr 24 2011,1900,330,1.5,433,3.9,763,2.9
Sun, Apr 24 2011,2000,259,2.7,320,3.1,579,2.9
Sun, Apr 24 2011,2100,221,3.6,234,2.1,455,2.9
Sun, Apr 24 2011,2200,187,2.7,190,2.1,377,2.4
Sun, Apr 24 2011,2300,117,4.3,103,1,220,2.7
Sun, Apr 24 2011,2400,50,0,79,1.3,129,0.8
Mon, Apr 25 2011,0100,28,3.6,22,0,50,2
Mon, Apr 25 2011,0200,34,0,38,2.6,72,1.4
Mon, Apr 25 2011,0300,30,3.3,32,0,62,1.6
Mon, Apr 25 2011,0400,12,8.3,21,9.5,33,9.1
Mon, Apr 25 2011,0500,12,33.3,20,5,32,15.6
Mon, Apr 25 2011,0600,18,11.1,34,8.8,52,9.6
Mon, Apr 25 2011,0700,41,2.4,47,10.6,88,6.8
Mon, Apr 25 2011,0800,62,3.2,91,8.8,153,6.5
Mon, Apr 25 2011,0900,115,8.7,140,3.6,255,5.9
Mon, Apr 25 2011,1000,200,3,169,5.3,369,4.1
Mon, Apr 25 2011,1100,290,3.1,200,4,490,3.5
