"Overall Population","Population residing","Employed","Looking for first regular job","Unemployed","Travelling by Bicycle","Travelling by Bus, Minibus or Coach","Travelling by Motorcycle or scooter","Travelling by Car as driver","Travelling by Car as passenger","Travelling by Van","Travelling by other vehicle like lorry","Leaving time - Before 6.30","Leaving time - 6.30 - 7.00","Leaving time - 7.01 - 7.30","Leaving time - 7.30 - 8.00","Leaving time - 8.00 - 8.30","Leaving time - 8.30 - 9.00","Leaving time - 9.00 - 9.30","Leaving time - After 9.30","Journey time - Under 15 mins","Journey time - 1/4 hr to Under 1/2 hr","Journey time - 1/2 hr to Under 3/4 hr","Journey time - 3/4 hr to Under 1 hr","Journey time - 1 hr to Under 1 1/2 hr","Journey time - 1 1/2 hrs and over","Households with 1 Car","Households with 2 Car","Households with 3 Car","Households with 4 Car","Total no. of cars owned","Year"
250653,243226,100764,1842,20703,3258,14179,288,66957,31784,7400,6795,5316,8128,12080,21895,28827,35866,17092,14580,52588,45124,26604,7893,6393,2225,35250,32123,5722,1829,123978,"2011"
252134,212960.6,102624.6,1787.6,19271,3389,14349.2,289.6,67790.2,32544.2,7500.4,5588.4,5850,8642.4,12545,22418.2,29354.8,35952.6,16617.4,14552.4,53002.8,45499.2,27214,8134.4,6715.2,2316,35546.4,32347,5637.6,1780.8,124276.4,"2012"
253615,182695.2,104485.2,1733.2,17839,3520,14519.4,291.2,68623.4,33304.4,7600.8,4381.8,6384,9156.8,13010,22941.4,29882.6,36039.2,16142.8,14524.8,53417.6,45874.4,27824,8375.8,7037.4,2407,35842.8,32571,5553.2,1732.6,124574.8,"2013"
255096,152429.8,106345.8,1678.8,16407,3651,14689.6,292.8,69456.6,34064.6,7701.2,3175.2,6918,9671.2,13475,23464.6,30410.4,36125.8,15668.2,14497.2,53832.4,46249.6,28434,8617.2,7359.6,2498,36139.2,32795,5468.8,1684.4,124873.2,"2014"
256577,122164.4,108206.4,1624.4,14975,3782,14859.8,294.4,70289.8,34824.8,7801.6,1968.6,7452,10185.6,13940,23987.8,30938.2,36212.4,15193.6,14469.6,54247.2,46624.8,29044,8858.6,7681.8,2589,36435.6,33019,5384.4,1636.2,125171.6,"2015"
258058,91899,110067,1570,13543,3913,15030,296,71123,35585,7902,762,7986,10700,14405,24511,31466,36299,14719,14442,54662,47000,29654,9100,8004,2680,36732,33243,5300,1588,125470,"2016"
